,prices,simple_returns,log_returns
2016-11-07 01:00:00.000,706.0925,-0.008472935208263088,-0.008509034580176116
2016-11-08 01:00:00.000,708.9399999999999,0.004032757747745475,0.004024647976070988
2016-11-09 01:00:00.000,721.1774999999999,0.017261686461477632,0.01711439612217339
2016-11-10 01:00:00.000,713.2141433353438,-0.011042159058839318,-0.011103576234493016
2016-11-11 01:00:00.000,715.6425000000002,0.003404807220031003,0.0033990239874051335
2016-11-12 01:00:00.000,703.76,-0.016603960776505278,-0.01674335164765943
2016-11-13 01:00:00.000,702.3463169808624,-0.002008757273981976,-0.002010777532801302
2016-11-14 01:00:00.000,705.55,0.004561400752991718,0.004551029092151773
2016-11-15 01:00:00.000,712.158899800779,0.009367018355579404,0.009323419886119495
2016-11-16 01:00:00.000,740.8993548679168,0.04035680109478057,0.039563732291240036
2016-11-17 01:00:00.000,738.4799999999999,-0.0032654298482257538,-0.0032707729992332082
2016-11-18 01:00:00.000,748.4263,0.013468611201386649,0.013378715736074725
2016-11-19 01:00:00.000,750.4100480749124,0.0026505590128413914,0.0026470524761227675
2016-11-20 01:00:00.000,728.3713,-0.029368940529847953,-0.029808842244684126
2016-11-21 01:00:00.000,736.5049999999998,0.011166969373998858,0.011105079096490375
2016-11-22 01:00:00.000,748.1225,0.01577382366718516,0.01565070987320216
2016-11-23 01:00:00.000,741.1662465178737,-0.009298281340457293,-0.00934178021153853
2016-11-24 01:00:00.000,736.7486937230678,-0.00596027249697384,-0.00597810581736718
2016-11-25 01:00:00.000,738.2039432073005,0.00197523184856796,0.0019732836431565785
2016-11-26 01:00:00.000,732.7338000000001,-0.007410070425164839,-0.007437661382141316
2016-11-27 01:00:00.000,727.7574999999999,-0.006791415927585365,-0.006814582541722517
2016-11-28 01:00:00.000,731.8424613583487,0.005613080398826131,0.005597385765812762
2016-11-29 01:00:00.000,731.81,-4.435566404348279e-05,-4.435664778503894e-05
2016-11-30 01:00:00.000,742.3587999999997,0.014414670474576452,0.014311766814875755
2016-12-01 01:00:00.000,753.0550000000001,0.014408396586664374,0.01430558205878346
2016-12-02 01:00:00.000,771.1713,0.024057074184488325,0.02377226157238396
2016-12-03 01:00:00.000,764.8338233239153,-0.008217988242151475,-0.008251942056846961
2016-12-04 01:00:00.000,766.3687999999997,0.0020069414156052012,0.0020049301991618526
2016-12-05 01:00:00.000,752.2399999999997,-0.018436032364574473,-0.01860809404705401
2016-12-06 01:00:00.000,758.6924999999999,0.008577714559183436,0.00854113499617766
2016-12-07 01:00:00.000,763.9149999999998,0.0068835529545896446,0.006859969467550519
2016-12-08 01:00:00.000,768.6749999999998,0.00623105973832172,0.006211726953186938
2016-12-09 01:00:00.000,769.8412999999998,0.0015172862393078024,0.0015161363235624112
2016-12-10 01:00:00.000,773.1262933845235,0.004267104641597852,0.004258026366723486
2016-12-11 01:00:00.000,768.2324999999998,-0.006329875760789361,-0.006349994368154684
2016-12-12 01:00:00.000,778.4323012225746,0.013276971779473845,0.013189605248707013
2016-12-13 01:00:00.000,778.2150000000004,-0.00027915237103204316,-0.0002791913413077682
2016-12-14 01:00:00.000,775.8913000000002,-0.0029859357632532335,-0.0029904025633792387
2016-12-15 01:00:00.000,775.5724999999998,-0.0004108822975595894,-0.00041096673282024136
2016-12-16 01:00:00.000,781.3375000000001,0.007433218686841325,0.007405728460012326
2016-12-17 01:00:00.000,788.8774999999998,0.009650119186650707,0.009603854190180191
2016-12-18 01:00:00.000,788.4413000000003,-0.0005529375600135111,-0.0005530904863612273
2016-12-19 01:00:00.000,790.1162999999996,0.0021244447747716944,0.0021221913329485895
